x,y,Amp,row_x,row_y
0.0,0.0,2.4963651545887635,0.21900681545043632,0.33165170181929327
-3.0,-2.0,1.2279329377731332,-2.8979755341947975,-2.445659048824668
3.0,1.0,0.31020918099322436,2.936338626702085,0.7931415870340679
1.0,-0.0,2.4255483077453976,0.5240746715508173,-0.3739714601049746
3.0,1.0,0.3854210846845697,2.79802219811343,0.5004712086566219
2.0,1.0,0.9599732341462267,2.165066603680022,0.5761969004190082
-3.0,1.0,3.441409749162301,-3.126657499118302,1.2778517055889456
-4.0,-0.0,2.513875620268148,-4.029311656268174,-0.4300743451370632
-3.0,5.0,0.931987909890578,-2.6476216996535156,4.529347074212696
-2.0,4.0,1.351365108718312,-2.0034929783055953,4.33262443131828
-4.0,-1.0,0.46107479295788917,-4.359677931984835,-0.6613399257280479
-5.0,4.0,0.909805680296893,-4.542661026558535,4.4582339539900735
-4.0,4.0,0.3888302839463519,-4.018454736603348,3.8060063179771557
-1.0,-0.0,0.8710806567511162,-1.4852793957226824,-0.3597502247986881
1.0,-3.0,0.6981328704848373,0.6947128580249098,-2.63843854107129
-2.0,-2.0,1.115339133156666,-2.1615101097657563,-1.5206373364071917
-0.0,2.0,0.9007205012786738,-0.06704356004355994,1.9683499062192915
1.0,-2.0,4.592109304720154,1.0480715641256433,-2.1005663719608076
-2.0,3.0,0.8871928167113986,-2.4524783750558106,2.801152153023965
-1.0,2.0,1.179205056548566,-0.6782037592430363,1.6546297596389072
-1.0,-2.0,0.9942681005398022,-1.0681140489465077,-2.205980352247809
-3.0,-2.0,1.2157430828992675,-3.306966623378094,-1.52663154467899
0.0,-3.0,1.0404973314973052,0.46885704939819917,-2.73807021263801
2.0,1.0,1.0604431798807923,2.474596706963794,1.2949151040877656
3.0,-3.0,2.353035786075371,2.820731632181335,-2.8651669189800995
-3.0,3.0,5.224117459632087,-2.8775387269831096,3.2672834937551123
-2.0,2.0,3.251543075308144,-1.690340380574967,1.9143396026621522
-1.0,-1.0,0.49759973237262883,-0.5967139179454461,-1.035132772190062
-1.0,-1.0,2.731203768302598,-0.759723841412284,-1.2191203542084734
1.0,0.0,2.58757384714141,0.5089887733089054,0.08350355829215683
-1.0,0.0,0.4395011371806888,-0.5020279456190142,0.46899635791258376
-2.0,3.0,1.1130858435669058,-2.385207127842996,3.259438132917592
-2.0,1.0,3.398554259888295,-1.5113043829386008,0.9255060184491519
2.0,4.0,4.853608161944681,1.7277190829652511,4.178230459351165
2.0,-1.0,2.307381786222804,2.0501118324112664,-0.7496956309313063
-5.0,2.0,1.9755629322858952,-4.625583248063885,2.47770200902307
-2.0,2.0,1.2227877768842341,-2.2155027032039136,1.5454836942034902
3.0,-1.0,0.7907839944942484,2.762838251476226,-1.4229958153983215
-3.0,-1.0,0.8215803669022722,-2.6529997643972747,-0.6580161608842428
-4.0,-2.0,4.527022995164011,-4.453954261740641,-1.7444236762799443
2.0,1.0,4.763725999307193,1.5840523947292207,1.0715232688489769
-4.0,1.0,4.4381201611240035,-4.424140430701293,1.0704537014905693
-4.0,5.0,0.8065683423874543,-4.104559489902394,4.7473013727238955
1.0,3.0,4.787288868008196,0.698698247772823,2.5726666010370156
2.0,2.0,2.502448553397064,1.8431179074892459,2.431068483036939
-2.0,0.0,4.589568344308132,-2.3033084079059014,0.20950765329755328
1.0,5.0,4.3706967802286165,1.250426346879082,4.597090020404278
0.0,1.0,0.6192881519317159,0.12256837198401271,0.5615493196973587
2.0,1.0,3.853166277444348,1.6225189720039497,1.317528052085982
2.0,3.0,5.183406408814765,1.6029414633303656,2.6330257693428436
-5.0,2.0,0.7058388585005606,-4.723058160296648,2.1355148356771547
3.0,2.0,0.6988232497322713,2.985805742350359,2.435539864297432
2.0,1.0,0.9808798401948298,1.5250948061126648,0.6716811614961715
1.0,4.0,4.764116151467129,0.7431403673436767,4.3070561569504875
-4.0,-1.0,1.1270237568070407,-4.43956540679786,-1.1637854552446694
-4.0,3.0,1.0171189099229914,-3.993028157908464,2.783068291219127
-2.0,4.0,0.5228733878908205,-1.7233547229599653,4.466338903913
-2.0,2.0,6.275689518261239,-1.6300104938756679,1.5036261198033545
1.0,4.0,4.55180070714884,1.1899886434142974,4.275609616548306
1.0,5.0,0.5884154805711526,0.8748195716768636,4.6827103384136874
-4.0,-1.0,4.783379822682248,-4.47641545931666,-0.6750124697622661
-1.0,-0.0,1.2026476636640187,-1.0482183679805832,-0.07887090689768517
-1.0,0.0,3.10776323011605,-1.4182020384090448,0.32884697645112304
-3.0,3.0,0.8997202781609374,-2.7057282186045972,2.7964578418163146
-3.0,-2.0,5.2473829315465625,-3.2900010045376282,-1.8359098654617778
-4.0,-1.0,1.0795309804470756,-3.8073508158377454,-0.9880450827845166
1.0,5.0,4.5213518997189475,1.0206532073313204,4.745079474577882
-3.0,-2.0,0.5167025501190423,-2.564413947400154,-2.2302358986852573
2.0,0.0,0.922442303884537,2.0627593803145388,0.03582597715803626
-2.0,-1.0,0.7279704903734219,-1.6269476711618553,-0.7850629186233
